episode_id,run_id,condition,team,slot,cohort,split,task_id,model,log_path,sample_uuid,report_directory,score,limit,error,total_tokens,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,model_calls,messages,submit_tool_calls,score_events,working_seconds,scratch_files,published_post_ids,peer_post_exposure_ids
worker-9681211fa788,258ce927293a42f4b932a4de02d681c5,board,1,1,1,original,lcbhard_0,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-17-39-00-00_board-pilot-t1-board-c1-p1_FrmjKS56tZMcUYvmgagptJ.eval,mqjMbR7LYiSkJ8oJ68FPbF,episode-001,C,,,22827,5771,15172,,1884,1003,5,13,1,2,27.927,[],[],[]
worker-9219ac5b48f8,258ce927293a42f4b932a4de02d681c5,board,1,2,1,conflicting,lcbhard_1,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-17-39-00-00_board-pilot-t1-board-c1-p2_RX6QHTZmU2stk2JQkPa3Ra.eval,crEdnZUZXxUBqW48FCJuoG,episode-002,C,,,335874,25074,297127,,13673,7209,24,53,2,3,156.126,[],[1],[]
worker-ea4c5120d4e6,258ce927293a42f4b932a4de02d681c5,board,1,3,1,conflicting,lcbhard_2,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-17-39-00-00_board-pilot-t1-board-c1-p3_JVkMb97DVFwtX5R95LzqSB.eval,4tHEEyWDEZDrCLNC9RJtBM,episode-003,C,,,123721,15581,99133,,9007,6202,14,30,1,2,118.419,[],[2],[]
worker-1bd10fd99741,d361420681ac4fc5868c8e51b31a2b82,private,1,1,1,original,lcbhard_0,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-20-18-00-00_board-pilot-t1-private-c1-p1_mV8RZwcZD7CHyMJCb37Xcx.eval,giJJKy9NsAEBtqrdf4wmnY,episode-004,C,,,24419,7847,13636,,2936,2049,5,13,1,2,44.235,[],[],[]
worker-52f1a3e7637d,d361420681ac4fc5868c8e51b31a2b82,private,1,2,1,conflicting,lcbhard_1,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-20-18-00-00_board-pilot-t1-private-c1-p2_mLNLSJR3ughtnRFyupD8jM.eval,m8YuaQYM7pbTHaGyAaRdVC,episode-005,C,,,117911,17620,89947,,10344,5874,13,29,1,2,115.076,[],[],[]
worker-fbab81041603,d361420681ac4fc5868c8e51b31a2b82,private,1,3,1,conflicting,lcbhard_2,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-20-18-00-00_board-pilot-t1-private-c1-p3_4639zgTnLAw7WS8rcs5rwo.eval,RcSynU5ZgcachwWLfL2s7V,episode-006,C,,,139098,17673,109388,,12037,8432,13,29,1,2,174.6,[],[],[]
worker-5821db971b18,d361420681ac4fc5868c8e51b31a2b82,private,1,4,2,conflicting,lcbhard_10,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-23-16-00-00_board-pilot-t1-private-c2-p1_d7ADbdAgQC5yQS22nczgqf.eval,GiofXdcq7MXuoRCy4Gsg73,episode-007,C,,,475198,48723,396146,,30329,19815,20,43,1,2,322.399,[],[],[]
worker-d823e47ad4c4,d361420681ac4fc5868c8e51b31a2b82,private,1,5,2,original,lcbhard_11,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-23-16-00-00_board-pilot-t1-private-c2-p2_Q6QFTXXMBGHELHD8T4UUpY.eval,np773PXf9dxwzHPYaAjUVS,episode-008,C,,,27955,6800,17717,,3438,2248,5,13,1,2,38.448,[],[],[]
worker-f1f710d84479,d361420681ac4fc5868c8e51b31a2b82,private,1,6,2,conflicting,lcbhard_12,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-23-16-00-00_board-pilot-t1-private-c2-p3_GCPLzg4gKGGFM5ZdS98toE.eval,Nkrk3EoBCiTcNRQuXPuaNx,episode-009,C,,,264999,25447,222593,,16959,10276,17,38,2,3,199.879,[],[],[]
worker-26755bb31749,258ce927293a42f4b932a4de02d681c5,board,1,4,2,conflicting,lcbhard_10,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-28-42-00-00_board-pilot-t1-board-c2-p1_LTjoHs5YNR3fXW7sJiFCan.eval,Z7uaXftGJVaWLc9bdPo2Ui,episode-010,C,,,502612,35953,444756,,21903,15110,21,44,1,2,247.976,[],[4],"[1, 2]"
worker-cd3210d33f93,258ce927293a42f4b932a4de02d681c5,board,1,5,2,original,lcbhard_11,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-28-42-00-00_board-pilot-t1-board-c2-p2_8ji8KGfoUTYrTB6n22ov33.eval,bwZsmHYdra6mEhsSJXajLr,episode-011,C,,,36394,7750,25525,,3119,1873,6,15,1,2,37.386,[],[],[]
worker-03126db75143,258ce927293a42f4b932a4de02d681c5,board,1,6,2,conflicting,lcbhard_12,openrouter/meta/muse-spark-1.3-contributor,/Users/pj/Workspace/projects/python/research/messageboardbench/logs/board-muse-sept8/evals/2026-09-07T21-28-42-00-00_board-pilot-t1-board-c2-p3_Q7aPFUTrqjDom2xAnHSm8o.eval,FkTdrcT8dniLnChxhM3JQT,episode-012,C,,,297725,25954,254608,,17163,11555,17,37,1,2,194.554,[],[3],"[1, 2]"
